name,similarity,cumulative rainfall,flood peak,test_name,test_flood peak,hydrological similarity,temporal similarity,spatial similarity,fusion similarity
69,0.5422,54,15982,210,23278,0.5422,0.442482,0.234423,2318.435625562171
110,0.6207,45,13075,210,23278,0.6207,0.463148,0.281464,2640.064373415961
204,0.6311,45,7359,210,23278,0.6311,0.470843,0.2675,2686.7832179805305
17,0.66,60,24421,210,23278,0.66,0.430103,0.249623,2796.2245381067173
116,0.6647,41,17994,210,23278,0.6647,0.465314,0.270596,2822.663158312234
73,0.7003,61,18449,210,23278,0.7003,0.50122,0.252141,2981.361336599593
40,0.719,48,11719,210,23278,0.719,0.465383,0.267719,3045.858526624456
96,0.7569,48,8638,210,23278,0.7569,0.442082,0.256109,3196.3219132770546
162,0.7889,41,7276,210,23278,0.7889,0.462184,0.291786,3328.5259165395382
205,0.8275,38,11943,210,23278,0.8275,0.45407,0.274781,3486.8817450107513
4,0.0717,20,3948,211,2902,0.0717,0.455471,0.228616,392.44888256746424
140,0.1988,24,2416,211,2902,0.1988,0.466192,0.258239,913.000187108461
176,0.2038,21,5137,211,2902,0.2038,0.413367,0.243914,920.4852075427475
185,0.2078,17,2359,211,2902,0.2078,0.466854,0.233894,953.3752507103833
28,0.2102,17,5009,211,2902,0.2102,0.458026,0.255076,957.8867212306633
13,0.2195,22,1875,211,2902,0.2195,0.470687,0.239857,1001.6657300953472
20,0.2278,19,4415,211,2902,0.2278,0.412786,0.269736,1015.3327277029227
52,0.2291,22,3147,211,2902,0.2291,0.478161,0.226737,1044.9266131334787
82,0.2313,25,4711,211,2902,0.2313,0.435647,0.271594,1035.913491599469
61,0.2327,15,2121,211,2902,0.2327,0.384393,0.218501,1034.2656084126309
139,0.055,5,1020,212,1457,0.055,0.468923,0.222791,328.51653062055357
24,0.0566,5,2031,212,1457,0.0566,0.483064,0.254122,334.88600058201496
121,0.0587,5,1627,212,1457,0.0587,0.488804,0.221558,349.4886462901843
58,0.0635,5,1917,212,1457,0.0635,0.419455,0.275826,342.2886671405012
80,0.072,5,1321,212,1457,0.072,0.447622,0.241868,389.683452310927
57,0.0844,5,1369,212,1457,0.0844,0.478207,0.246387,448.60983385878205
184,0.1065,5,1286,212,1457,0.1065,0.506908,0.249673,546.9669020137757
78,0.1121,6,1354,212,1457,0.1121,0.48903,0.225078,568.1788739071222
86,0.1167,7,1911,212,1457,0.1167,0.496116,0.241332,586.8803914849061
47,0.1176,6,1360,212,1457,0.1176,0.458313,0.224926,582.0730508061673
194,0.4745,16,2773,213,12252,0.4745,0.441157,0.273033,2035.1186200629802
28,0.4885,17,5009,213,12252,0.4885,0.460272,0.286156,2096.2113483346575
117,0.5136,15,8130,213,12252,0.5136,0.467642,0.354695,2192.0999755450216
200,0.5304,17,6615,213,12252,0.5304,0.429623,0.270988,2261.4837960206937
61,0.5359,15,2121,213,12252,0.5359,0.450991,0.286358,2288.0379746108542
67,0.5367,18,2281,213,12252,0.5367,0.441475,0.328183,2283.024791811459
4,0.5449,20,3948,213,12252,0.5449,0.449357,0.318165,2320.2414673585563
206,0.5496,19,6402,213,12252,0.5496,0.419741,0.326056,2330.087446628443
185,0.5529,17,2359,213,12252,0.5529,0.41663,0.298232,2346.4739955465975
97,0.5583,15,3951,213,12252,0.5583,0.462982,0.281673,2383.9650122819285
187,0.0685,9,1677,214,2120,0.0685,0.413436,0.255925,363.7659953368641
188,0.0693,10,3159,214,2120,0.0693,0.466637,0.233837,385.06221740049523
60,0.0821,11,2371,214,2120,0.0821,0.483735,0.246825,440.6787038034748
30,0.1019,12,1381,214,2120,0.1019,0.472068,0.25338,517.7375564201013
84,0.1041,8,1771,214,2120,0.1041,0.450631,0.259831,519.8335740876605
173,0.1089,12,1943,214,2120,0.1089,0.466593,0.248264,545.5942141928493
119,0.1097,6,973,214,2120,0.1097,0.442046,0.242295,542.7297334391216
174,0.114,8,4047,214,2120,0.114,0.461103,0.24394,565.5449204652215
29,0.1144,7,1798,214,2120,0.1144,0.484764,0.254685,572.4424540113506
136,0.1173,8,3319,214,2120,0.1173,0.446471,0.247073,574.5243609838952
167,0.0608,17,1408,215,1351,0.0608,0.453592,0.250622,344.2471329798093
151,0.0644,18,2757,215,1351,0.0644,0.434082,0.24319,354.4922953785268
131,0.1115,18,3258,215,1351,0.1115,0.488287,0.225103,565.5034945386357
