name,similarity,cumulative rainfall,flood peak,test_name,test_flood peak
64,0.0476,29,3546,190,3585
50,0.0872,29,1611,190,3585
59,0.2077,26,2341,190,3585
21,0.2585,30,10357,190,3585
140,0.2589,24,2416,190,3585
85,0.0923,12,2205,191,1809
30,0.1202,12,1381,191,1809
141,0.1257,12,2179,191,1809
33,0.1377,13,2366,191,1809
62,0.1524,15,3193,191,1809
37,0.1491,25,7035,192,3227
140,0.1722,24,2416,192,3227
157,0.2013,25,2783,192,3227
92,0.2028,27,8014,192,3227
125,0.2099,24,3512,192,3227
156,0.111,10,3096,193,2675
155,0.128,7,1921,193,2675
179,0.1386,10,1828,193,2675
181,0.1459,8,2381,193,2675
172,0.1488,6,1958,193,2675
28,0.0939,17,5009,194,2773
67,0.1372,18,2281,194,2773
61,0.1507,15,2121,194,2773
149,0.1949,14,2067,194,2773
185,0.1951,17,2359,194,2773
153,0.0825,12,2165,195,1837
127,0.1166,13,3302,195,1837
66,0.1266,13,1879,195,1837
148,0.1307,13,1680,195,1837
173,0.1596,12,1943,195,1837
1,0.0757,11,2938,196,1590
173,0.0863,12,1943,196,1590
153,0.0932,12,2165,196,1590
2,0.116,10,2739,196,1590
33,0.1227,13,2366,196,1590
33,0.0747,13,2366,197,1482
153,0.1108,12,2165,197,1482
150,0.1335,13,1507,197,1482
2,0.1336,10,2739,197,1482
85,0.1496,12,2205,197,1482
70,0.1104,14,2567,198,2938
150,0.1241,13,1507,198,2938
127,0.1669,13,3302,198,2938
99,0.1822,10,2281,198,2938
90,0.1881,8,2079,198,2938
130,0.3674,46,10694,199,8656
51,0.4248,41,4414,199,8656
74,0.4295,43,9734,199,8656
45,0.5108,42,6591,199,8656
162,0.5442,41,7276,199,8656
118,0.3384,10,6636,200,6615
114,0.3726,9,3988,200,6615
97,0.4049,15,3951,200,6615
42,0.4241,13,5826,200,6615
72,0.4645,10,6561,200,6615
98,0.296,21,5921,201,6965
159,0.3408,26,5022,201,6965
101,0.3608,26,7096,201,6965
6,0.3846,21,5952,201,6965
75,0.3961,28,9565,201,6965
101,0.2386,26,7096,202,7468
159,0.2575,26,5022,202,7468
75,0.3384,28,9565,202,7468
113,0.3814,28,21576,202,7468
98,0.4134,21,5921,202,7468
72,0.3081,10,6561,203,6974
102,0.3798,12,6256,203,6974
114,0.4033,9,3988,203,6974
160,0.4498,16,3739,203,6974
97,0.5277,15,3951,203,6974
110,0.2712,45,13075,204,7359
116,0.3502,41,17994,204,7359
162,0.4049,41,7276,204,7359
18,0.6601,33,13489,204,7359
111,0.6664,36,5057,204,7359
162,0.3345,41,7276,205,11943
116,0.3537,41,17994,205,11943
18,0.3745,33,13489,205,11943
111,0.3896,36,5057,205,11943
163,0.4731,31,4468,205,11943
117,0.463,15,8130,206,6402
98,0.5777,21,5921,206,6402
102,0.591,12,6256,206,6402
6,0.6155,21,5952,206,6402
72,0.6711,10,6561,206,6402
38,0.442,41,5467,207,7580
137,0.4774,39,6985,207,7580
18,0.5136,33,13489,207,7580
169,0.544,33,2194,207,7580
162,0.5556,41,7276,207,7580
115,0.7482,77,25066,208,22226
15,0.8819,77,32022,208,22226
73,1.4588,61,18449,208,22226
14,1.6388,65,11096,208,22226
100,1.6659,68,10354,208,22226
102,0.2968,12,6256,209,5046
42,0.3563,13,5826,209,5046
97,0.4277,15,3951,209,5046
118,0.4376,10,6636,209,5046
161,0.5242,15,3909,209,5046
