name,similarity,cumulative rainfall,flood peak,test_name,test_flood peak
69,0.5422,54,15982,210,23278
110,0.6207,45,13075,210,23278
204,0.6311,45,7359,210,23278
17,0.66,60,24421,210,23278
116,0.6647,41,17994,210,23278
73,0.7003,61,18449,210,23278
40,0.719,48,11719,210,23278
96,0.7569,48,8638,210,23278
162,0.7889,41,7276,210,23278
205,0.8275,38,11943,210,23278
4,0.0717,20,3948,211,2902
140,0.1988,24,2416,211,2902
176,0.2038,21,5137,211,2902
185,0.2078,17,2359,211,2902
28,0.2102,17,5009,211,2902
13,0.2195,22,1875,211,2902
20,0.2278,19,4415,211,2902
52,0.2291,22,3147,211,2902
82,0.2313,25,4711,211,2902
61,0.2327,15,2121,211,2902
139,0.055,5,1020,212,1457
24,0.0566,5,2031,212,1457
121,0.0587,5,1627,212,1457
58,0.0635,5,1917,212,1457
80,0.072,5,1321,212,1457
57,0.0844,5,1369,212,1457
184,0.1065,5,1286,212,1457
78,0.1121,6,1354,212,1457
86,0.1167,7,1911,212,1457
47,0.1176,6,1360,212,1457
194,0.4745,16,2773,213,12252
28,0.4885,17,5009,213,12252
117,0.5136,15,8130,213,12252
200,0.5304,17,6615,213,12252
61,0.5359,15,2121,213,12252
67,0.5367,18,2281,213,12252
4,0.5449,20,3948,213,12252
206,0.5496,19,6402,213,12252
185,0.5529,17,2359,213,12252
97,0.5583,15,3951,213,12252
187,0.0685,9,1677,214,2120
188,0.0693,10,3159,214,2120
60,0.0821,11,2371,214,2120
30,0.1019,12,1381,214,2120
84,0.1041,8,1771,214,2120
173,0.1089,12,1943,214,2120
119,0.1097,6,973,214,2120
174,0.114,8,4047,214,2120
29,0.1144,7,1798,214,2120
136,0.1173,8,3319,214,2120
167,0.0608,17,1408,215,1351
151,0.0644,18,2757,215,1351
131,0.1115,18,3258,215,1351
79,0.1179,15,1563,215,1351
185,0.1185,17,2359,215,1351
183,0.1186,16,2351,215,1351
33,0.123,13,2366,215,1351
141,0.1515,12,2179,215,1351
67,0.1544,18,2281,215,1351
28,0.1553,17,5009,215,1351
151,0.1337,18,2757,216,1340
67,0.1426,18,2281,216,1340
131,0.1467,18,3258,216,1340
148,0.1583,13,1680,216,1340
68,0.1803,15,3238,216,1340
28,0.1898,17,5009,216,1340
46,0.1945,20,4332,216,1340
66,0.207,13,1879,216,1340
167,0.2097,17,1408,216,1340
183,0.2134,16,2351,216,1340
195,0.0536,12,1837,217,2003
127,0.0727,13,3302,217,2003
153,0.0753,12,2165,217,2003
196,0.1165,11,1590,217,2003
197,0.1187,12,1482,217,2003
148,0.13,13,1680,217,2003
150,0.1322,13,1507,217,2003
66,0.134,13,1879,217,2003
99,0.1421,10,2281,217,2003
165,0.1441,13,3034,217,2003
14,0.3348,65,11096,218,9108
12,0.3706,66,9862,218,9108
100,0.4321,68,10354,218,9108
115,0.5587,77,25066,218,9108
71,0.5805,58,15210,218,9108
17,0.8227,60,24421,218,9108
69,0.8427,54,15982,218,9108
108,0.9734,52,5080,218,9108
130,0.9974,46,10694,218,9108
199,1.0614,41,8656,218,9108
183,0.0745,16,2351,219,2675
167,0.0871,17,1408,219,2675
33,0.0968,13,2366,219,2675
151,0.0969,18,2757,219,2675
79,0.1165,15,1563,219,2675
131,0.1266,18,3258,219,2675
185,0.1347,17,2359,219,2675
28,0.1368,17,5009,219,2675
67,0.1385,18,2281,219,2675
61,0.1512,15,2121,219,2675
56,0.086,13,3410,220,2765
30,0.099,12,1381,220,2765
60,0.1097,11,2371,220,2765
149,0.1141,14,2067,220,2765
173,0.1212,12,1943,220,2765
188,0.1256,10,3159,220,2765
85,0.1264,12,2205,220,2765
141,0.1374,12,2179,220,2765
32,0.1399,11,1395,220,2765
191,0.1425,13,1809,220,2765
186,0.0468,7,2166,221,1979
36,0.0636,6,1487,221,1979
87,0.0667,7,2392,221,1979
34,0.0712,6,1699,221,1979
24,0.0758,5,2031,221,1979
121,0.0815,5,1627,221,1979
86,0.0836,7,1911,221,1979
103,0.0884,7,1866,221,1979
78,0.0887,6,1354,221,1979
23,0.0931,6,1637,221,1979
187,0.0477,9,1677,222,2391
182,0.0554,9,2126,222,2391
84,0.0625,8,1771,222,2391
144,0.0838,6,1551,222,2391
25,0.084,8,1533,222,2391
107,0.0872,10,1570,222,2391
49,0.0947,8,848,222,2391
188,0.0953,10,3159,222,2391
19,0.0954,5,1888,222,2391
29,0.0956,7,1798,222,2391
146,0.0709,7,1657,223,580
121,0.0738,5,1627,223,580
55,0.0739,7,1629,223,580
86,0.0813,7,1911,223,580
58,0.0928,5,1917,223,580
57,0.1006,5,1369,223,580
23,0.101,6,1637,223,580
24,0.1015,5,2031,223,580
80,0.1048,5,1321,223,580
186,0.1087,7,2166,223,580
87,0.0446,7,2392,224,1800
24,0.0522,5,2031,224,1800
36,0.0535,6,1487,224,1800
86,0.0589,7,1911,224,1800
90,0.0708,8,2079,224,1800
121,0.0708,5,1627,224,1800
103,0.0722,7,1866,224,1800
186,0.0743,7,2166,224,1800
31,0.0794,6,1843,224,1800
78,0.0801,6,1354,224,1800
27,0.0641,9,2110,225,2030
60,0.0656,11,2371,225,2030
188,0.0674,10,3159,225,2030
30,0.0914,12,1381,225,2030
120,0.0976,8,2678,225,2030
84,0.1167,8,1771,225,2030
85,0.1167,12,2205,225,2030
136,0.117,8,3319,225,2030
29,0.1177,7,1798,225,2030
62,0.1238,15,3193,225,2030
64,0.1138,29,3546,226,5160
190,0.1501,29,3585,226,5160
21,0.1608,30,10357,226,5160
92,0.1749,27,8014,226,5160
50,0.1832,29,1611,226,5160
135,0.1886,28,11701,226,5160
142,0.2256,30,4615,226,5160
157,0.2275,25,2783,226,5160
192,0.2328,25,3227,226,5160
104,0.2349,33,5897,226,5160
166,0.0869,9,3094,227,3470
2,0.1221,10,2739,227,3470
156,0.1227,10,3096,227,3470
197,0.1234,12,1482,227,3470
99,0.1376,10,2281,227,3470
89,0.1421,12,4126,227,3470
164,0.1473,11,3234,227,3470
165,0.1556,13,3034,227,3470
127,0.1565,13,3302,227,3470
195,0.1581,12,1837,227,3470
159,0.1369,26,5022,228,4530
52,0.1436,22,3147,228,4530
75,0.1462,28,9565,228,4530
176,0.1668,21,5137,228,4530
112,0.1901,21,12921,228,4530
37,0.1994,25,7035,228,4530
143,0.2053,25,4492,228,4530
132,0.2054,26,7241,228,4530
157,0.2155,25,2783,228,4530
201,0.2363,24,6965,228,4530
53,0.0251,5,2793,229,2480
78,0.0642,6,1354,229,2480
134,0.1045,5,2235,229,2480
22,0.1046,5,1381,229,2480
65,0.1059,6,2200,229,2480
172,0.1147,6,1958,229,2480
139,0.1191,5,1020,229,2480
76,0.1217,5,647,229,2480
24,0.1334,5,2031,229,2480
63,0.1352,8,1834,229,2480
86,0.0469,7,1911,230,1580
87,0.051,7,2392,230,1580
55,0.0609,7,1629,230,1580
23,0.0654,6,1637,230,1580
103,0.0662,7,1866,230,1580
144,0.0711,6,1551,230,1580
29,0.0726,7,1798,230,1580
36,0.0756,6,1487,230,1580
182,0.0767,9,2126,230,1580
120,0.0819,8,2678,230,1580
142,0.1043,30,4615,231,8130
135,0.1266,28,11701,231,8130
