name,test_name,dissimilarity_space,dissimilarity_time
64,190,0.267402,0.467021
50,190,0.264616,0.453198
59,190,0.228237,0.436186
21,190,0.240791,0.448250
140,190,0.257608,0.457156
85,191,0.219764,0.487922
30,191,0.229581,0.437491
141,191,0.251049,0.446616
33,191,0.270242,0.413093
62,191,0.199427,0.457161
37,192,0.204872,0.385487
140,192,0.255436,0.463299
157,192,0.211518,0.474511
92,192,0.211432,0.496654
125,192,0.233526,0.413055
156,193,0.251458,0.453919
155,193,0.295943,0.366874
179,193,0.216072,0.521529
181,193,0.220324,0.427167
172,193,0.242213,0.428064
28,194,0.193891,0.445204
67,194,0.256895,0.471042
61,194,0.229052,0.468183
149,194,0.230227,0.473969
185,194,0.214053,0.456539
153,195,0.226944,0.471485
127,195,0.263986,0.464758
66,195,0.270677,0.417221
148,195,0.257085,0.424202
173,195,0.268273,0.442414
1,196,0.242857,0.466766
173,196,0.251733,0.470044
153,196,0.260867,0.456696
2,196,0.254184,0.458202
33,196,0.237914,0.434650
33,197,0.255452,0.400472
153,197,0.235669,0.459717
150,197,0.225574,0.509253
2,197,0.261469,0.409424
85,197,0.228657,0.435689
70,198,0.227739,0.436860
150,198,0.271891,0.430248
127,198,0.260492,0.465018
99,198,0.219871,0.464285
90,198,0.255958,0.475864
130,199,0.244228,0.458216
51,199,0.268244,0.479735
74,199,0.278389,0.447973
45,199,0.271958,0.478454
162,199,0.230550,0.480387
118,200,0.221526,0.521198
114,200,0.236240,0.441574
97,200,0.251811,0.484392
42,200,0.211438,0.509836
72,200,0.224888,0.510990
98,201,0.254749,0.481165
159,201,0.267928,0.440001
101,201,0.235721,0.517547
6,201,0.231568,0.485335
75,201,0.245955,0.459632
101,202,0.265368,0.484818
159,202,0.272121,0.447051
75,202,0.267925,0.485964
113,202,0.245343,0.462694
98,202,0.277951,0.411856
72,203,0.223959,0.444824
102,203,0.258849,0.451817
114,203,0.242416,0.444929
160,203,0.239122,0.478132
97,203,0.292341,0.475948
110,204,0.260171,0.470547
116,204,0.238587,0.464499
162,204,0.224637,0.419689
18,204,0.238970,0.414875
111,204,0.257611,0.443610
162,205,0.255771,0.454138
116,205,0.262620,0.455331
18,205,0.239149,0.449406
111,205,0.184808,0.487028
163,205,0.263926,0.467539
117,206,0.263314,0.454993
98,206,0.252687,0.429569
102,206,0.296691,0.450267
6,206,0.239163,0.428053
72,206,0.279097,0.454391
38,207,0.259423,0.529372
137,207,0.288342,0.472727
18,207,0.279361,0.421956
169,207,0.300420,0.466430
162,207,0.243776,0.492150
115,208,0.236690,0.465077
15,208,0.239602,0.436101
73,208,0.267664,0.520983
14,208,0.257114,0.485190
100,208,0.249517,0.494909
102,209,0.237034,0.442170
42,209,0.209221,0.402410
97,209,0.287225,0.466784
118,209,0.240654,0.449664
161,209,0.261852,0.400953
