name,test_name,dissimilarity_space,dissimilarity_time
69,210,0.234423,0.442482
110,210,0.281464,0.463148
204,210,0.267500,0.470843
17,210,0.249623,0.430103
116,210,0.270596,0.465314
73,210,0.252141,0.501220
40,210,0.267719,0.465383
96,210,0.256109,0.442082
162,210,0.291786,0.462184
205,210,0.274781,0.454070
4,211,0.228616,0.455471
140,211,0.258239,0.466192
176,211,0.243914,0.413367
185,211,0.233894,0.466854
28,211,0.255076,0.458026
13,211,0.239857,0.470687
20,211,0.269736,0.412786
52,211,0.226737,0.478161
82,211,0.271594,0.435647
61,211,0.218501,0.384393
139,212,0.222791,0.468923
24,212,0.254122,0.483064
121,212,0.221558,0.488804
58,212,0.275826,0.419455
80,212,0.241868,0.447622
57,212,0.246387,0.478207
184,212,0.249673,0.506908
78,212,0.225078,0.489030
86,212,0.241332,0.496116
47,212,0.224926,0.458313
194,213,0.273033,0.441157
28,213,0.286156,0.460272
117,213,0.354695,0.467642
200,213,0.270988,0.429623
61,213,0.286358,0.450991
67,213,0.328183,0.441475
4,213,0.318165,0.449357
206,213,0.326056,0.419741
185,213,0.298232,0.416630
97,213,0.281673,0.462982
187,214,0.255925,0.413436
188,214,0.233837,0.466637
60,214,0.246825,0.483735
30,214,0.253380,0.472068
84,214,0.259831,0.450631
173,214,0.248264,0.466593
119,214,0.242295,0.442046
174,214,0.243940,0.461103
29,214,0.254685,0.484764
136,214,0.247073,0.446471
167,215,0.250622,0.453592
151,215,0.243190,0.434082
131,215,0.225103,0.488287
79,215,0.225931,0.467089
185,215,0.259781,0.479334
183,215,0.212934,0.453401
33,215,0.259726,0.423391
141,215,0.237871,0.484584
67,215,0.255358,0.410473
28,215,0.283896,0.464504
151,216,0.251804,0.468010
67,216,0.238988,0.444112
131,216,0.212940,0.478009
148,216,0.228930,0.457220
68,216,0.210466,0.467992
28,216,0.273239,0.492336
46,216,0.268314,0.517161
66,216,0.252193,0.434713
167,216,0.272570,0.468469
183,216,0.222322,0.433969
195,217,0.233070,0.396043
127,217,0.228730,0.460441
153,217,0.211027,0.480027
196,217,0.223449,0.397267
197,217,0.230187,0.417963
148,217,0.246723,0.465777
150,217,0.223733,0.474345
66,217,0.258736,0.433229
99,217,0.235172,0.411217
165,217,0.225230,0.461115
14,218,0.257100,0.462594
12,218,0.277828,0.445749
100,218,0.289530,0.490218
115,218,0.276737,0.497503
71,218,0.232882,0.472343
17,218,0.266800,0.409267
69,218,0.222198,0.425350
108,218,0.260113,0.458906
130,218,0.241923,0.457150
199,218,0.255475,0.425438
183,219,0.228677,0.476550
167,219,0.228592,0.457133
33,219,0.239994,0.443740
151,219,0.265194,0.464017
79,219,0.208244,0.482844
131,219,0.226077,0.491277
185,219,0.220910,0.500176
28,219,0.245251,0.512550
67,219,0.241385,0.435896
61,219,0.206495,0.484796
56,220,0.216128,0.468268
30,220,0.261271,0.422293
60,220,0.271522,0.415948
149,220,0.254044,0.429237
173,220,0.291503,0.446600
188,220,0.290913,0.445242
85,220,0.289700,0.460750
141,220,0.261428,0.414993
32,220,0.237780,0.429828
191,220,0.289339,0.411461
186,221,0.245553,0.501367
36,221,0.259177,0.455293
87,221,0.262966,0.437330
34,221,0.233263,0.461094
24,221,0.256420,0.463701
121,221,0.242899,0.478388
86,221,0.262258,0.467846
103,221,0.277575,0.473815
78,221,0.260947,0.505085
23,221,0.232664,0.475023
187,222,0.238641,0.421039
182,222,0.216277,0.472398
84,222,0.293472,0.453505
144,222,0.287170,0.471314
25,222,0.186073,0.475999
107,222,0.278534,0.464894
49,222,0.246737,0.447475
188,222,0.301099,0.443756
19,222,0.235245,0.468306
29,222,0.285658,0.509661
146,223,0.232254,0.440125
121,223,0.252377,0.480615
55,223,0.225557,0.455416
86,223,0.223320,0.431560
58,223,0.237653,0.452806
57,223,0.206898,0.443611
23,223,0.228974,0.507786
24,223,0.247326,0.452231
80,223,0.238591,0.437909
186,223,0.242266,0.461269
87,224,0.251116,0.447915
24,224,0.278223,0.456371
36,224,0.275755,0.446129
86,224,0.255569,0.433362
90,224,0.286857,0.425877
121,224,0.293471,0.452500
103,224,0.281575,0.492392
186,224,0.266184,0.482586
31,224,0.262761,0.451841
78,224,0.254686,0.468966
27,225,0.244249,0.456570
60,225,0.259892,0.494672
188,225,0.238049,0.476483
30,225,0.247127,0.463431
120,225,0.276245,0.493052
84,225,0.253682,0.485107
85,225,0.264071,0.423723
136,225,0.227728,0.471144
29,225,0.255056,0.494422
62,225,0.280388,0.451609
64,226,0.252237,0.499034
190,226,0.278187,0.456605
21,226,0.222588,0.464291
92,226,0.257137,0.449414
50,226,0.233315,0.501050
135,226,0.291496,0.470595
142,226,0.249845,0.489344
157,226,0.226359,0.459521
192,226,0.252882,0.501847
104,226,0.249001,0.507957
166,227,0.253016,0.422136
2,227,0.293990,0.434791
156,227,0.257464,0.441006
197,227,0.250556,0.420179
99,227,0.277533,0.392001
89,227,0.216108,0.477787
164,227,0.252743,0.475653
165,227,0.250637,0.442130
127,227,0.260999,0.449050
195,227,0.245604,0.433221
159,228,0.264790,0.406208
52,228,0.259917,0.457328
75,228,0.309224,0.452805
176,228,0.294160,0.451331
