,start time,end time,cumulative rainfall,rainfall duration,maximum 48-hour rainfall,rainfall in the previous 10 days,Wan San cumulative rainfall,flood peak,flood peak time,water level,rising flow
0,2014/5/3 5:00,2014/5/4 11:00,16,30,16.6,1,4,3713,2014/5/4 22:00,160.1,1358.626115
1,2014/5/20 12:00,2014/5/21 11:00,11,23,12.1,12,6,2938,2014/5/21 12:00,152.8,625.8457308
2,2014/5/24 23:00,2014/5/26 12:00,10,37,12.45,15,12,2739,2014/5/26 18:00,151.3,1398.267077
3,2014/5/30 13:00,2014/6/1 5:00,8,40,10.2,23,8,2998,2014/5/31 20:00,148.9,1460.539154
4,2014/6/13 19:00,2014/6/15 13:00,20,42,22.15,9,29,3948,2014/6/15 20:00,145.3,1156.894731
5,2014/6/19 13:00,2014/6/21 10:00,28,45,29.4,27,23,5905,2014/6/21 10:00,145.7,1428.866269
6,2014/6/24 14:00,2014/6/26 16:00,21,50,23.85,45,27,5952,2014/6/25 22:00,145.5,2747.806308
7,2014/6/28 19:00,2014/7/1 16:00,29,69,20.7,52,22,6272,2014/7/1 20:00,146.4,2619.717423
8,2014/7/3 8:00,2014/7/4 2:00,8,18,8.9,52,3,6365,2014/7/3 22:00,146.3,2948.772154
9,2014/7/10 19:00,2014/7/12 17:00,34,46,35.25,21,55,8509,2014/7/12 12:00,145.8,2145.060308
10,2014/7/23 16:00,2014/7/25 3:00,6,35,7.45,4,9,2649,2014/7/24 0:00,150.1,707.9558462
11,2014/8/5 16:00,2014/8/8 4:00,13,60,12.6,4,26,2909,2014/8/7 12:00,149.8,1007.483538
12,2014/8/9 18:00,2014/8/12 20:00,66,74,56.05,18,73,9862,2014/8/11 22:00,147.8,557.3627692
13,2014/8/22 21:00,2014/8/23 16:00,22,19,22.1,0,26,1875,2014/8/23 10:00,154.8,9.606
14,2014/8/25 17:00,2014/8/29 16:00,65,95,53.8,23,81,11096,2014/8/28 14:00,154.8,287.303
15,2014/8/31 4:00,2014/9/2 11:00,77,55,72,87,125,32022,2014/9/1 20:00,160.1,2911.539577
16,2014/9/12 5:00,2014/9/14 6:00,32,49,33.25,11,24,9926,2014/9/13 22:00,163.5,2161.708346
17,2014/9/17 6:00,2014/9/19 3:00,60,45,60.95,32,55,24421,2014/9/18 20:00,166.6,1503.748769
18,2014/9/26 21:00,2014/9/28 13:00,33,40,34.4,60,47,13489,2014/9/28 12:00,168.1,2079.797808
19,2014/10/15 22:00,2014/10/17 10:00,5,36,8.7,0,5,1888,2014/10/17 22:00,173.2,328.7098846
20,2014/10/18 6:00,2014/10/20 16:00,19,58,21.05,6,33,4415,2014/10/20 18:00,173.3,465.4102308
21,2014/10/27 22:00,2014/10/28 18:00,30,20,30.8,20,38,10357,2014/10/28 16:00,174.6,334.4668462
22,2014/11/1 15:00,2014/11/2 4:00,5,13,5.5,31,3,1381,2014/11/2 14:00,174.5,519.2483077
23,2014/11/23 9:00,2014/11/24 2:00,6,17,7,1,8,1637,2014/11/23 18:00,174.2,420.5765385
24,2014/11/29 0:00,2014/11/29 9:00,5,9,5.25,11,6,2031,2014/11/29 18:00,174.8,664.7517692
25,2015/1/5 22:00,2015/1/6 9:00,8,11,8.3,0,6,1533,2015/1/6 10:00,171,170.2950769
26,2015/3/17 5:00,2015/3/18 14:00,8,33,9.1,0,14,2205,2015/3/19 0:00,165.6,488.3890769
27,2015/4/1 21:00,2015/4/2 6:00,9,9,10,2,15,2110,2015/4/2 12:00,164.6,944.0995
28,2015/4/5 1:00,2015/4/6 6:00,17,29,18.1,16,22,5009,2015/4/5 17:00,165.4,1024.191423
29,2015/4/18 12:00,2015/4/19 12:00,7,24,8.8,6,11,1798,2015/4/19 8:00,167.9,612.5379231
30,2015/5/1 2:00,2015/5/1 20:00,12,18,12.6,1,14,1381,2015/5/2 4:00,161.6,615.2541538
31,2015/5/3 7:00,2015/5/4 9:00,6,26,7.2,12,3,1843,2015/5/4 5:00,160.7,725.5107308
32,2015/5/10 19:00,2015/5/11 5:00,11,10,12.1,22,16,1395,2015/5/11 4:00,156.7,0
33,2015/5/14 7:00,2015/5/15 16:00,13,33,14.8,16,14,2366,2015/5/15 6:00,155.3,236.4847308
34,2015/5/17 8:00,2015/5/18 3:00,6,19,7,28,8,1699,2015/5/18 6:00,154.1,658.3017692
35,2015/5/22 4:00,2015/5/23 3:00,8,23,9.5,19,9,1236,2015/5/23 6:00,152,466.2220385
36,2015/5/25 20:00,2015/5/26 12:00,6,16,7.7,14,4,1487,2015/5/26 7:00,151,623.8318462
37,2015/5/28 7:00,2015/5/29 10:00,25,27,25.3,15,33,7035,2015/5/29 12:00,149.8,1712.266731
38,2015/6/1 4:00,2015/6/4 12:00,41,80,26.6,40,31,5467,2015/6/4 20:00,151.2,1495.080269
39,2015/6/6 15:00,2015/6/8 6:00,5,39,8.2,66,7,2675,2015/6/7 14:00,154,1884.558577
